La Calaka - Expense Report
Week: SEMANA 3   LUNES  20   ENERO    2026
Exported: 1/27/2026, 2:36:46 PM

COST BREAKDOWN
Category,Initial ($),Purchases ($),Final ($),Sales ($),Cost %

INVOICES/PURCHASES
Provider,Category,Quantity,Unit Price,Total
"SALSA CHIPOTLE CN BASE DE QUESO ",undefined,0,undefined,NaN
"SALSA DE QUESO CHEDDAR PARA NACHOS ",undefined,0,undefined,NaN
"SALSA MATCHA EL RUDO ",undefined,0,undefined,NaN
"CHILE POBLANO ",undefined,1,undefined,NaN
"Bolsa Negra Basura 26 x 36" stronge x garbage bag",undefined,0,undefined,NaN
"Bolsa Negra Basura 42 x 48"",undefined,0,undefined,NaN
"Cloro bleach",undefined,3,undefined,NaN
"Desengrasante plancha Clasik 10 litros)",undefined,0,undefined,NaN
"Escoba",undefined,0,undefined,NaN
"Fibra Chica para loza",undefined,0,undefined,NaN
"Fibra Grande para loza",undefined,0,undefined,NaN
"Fibra Metalica chica",undefined,0,undefined,NaN
"Gel Antibacterial (sanitize de LITRO para rellenar)",undefined,0,undefined,NaN
"Jabon para Manos (softsoap)",undefined,0,undefined,NaN
"Jalador (esta en bano o Janitor)",undefined,0,undefined,NaN
"Lysol para banos (botella)",undefined,0,undefined,NaN
"MelaMagic",undefined,0,undefined,NaN
"Mr Clean 5.2 lts",undefined,5.2,undefined,NaN
"Solugard (limpiador de mesas)",undefined,0,undefined,NaN
"Trapeador chico redondo",undefined,0,undefined,NaN
"Trapeador largo",undefined,1,undefined,NaN
"Trapo Amarillo",undefined,0,undefined,NaN
"Trapo Blanco white microfiber towel",undefined,0,undefined,NaN
"Washeze Jabon de Loza",undefined,0,undefined,NaN
"Windex",undefined,0,undefined,NaN
"Desengrasante de horno",undefined,0,undefined,NaN
"Toallas de cloro desinfectantes",undefined,0,undefined,NaN
"Aromatizantes",undefined,0,undefined,NaN
"dishwasher detergente (cubeta 20 litros)",undefined,0,undefined,NaN
"dishwasher rinse (cubeta 20 litros)",undefined,0,undefined,NaN
"Aluminio Tacos 14x14 insulated",undefined,0,undefined,NaN
"Alumino Papel Rollo 30 cm x 200 mts",undefined,0,undefined,NaN
"Bolsa P/llevar grande S6",undefined,0,undefined,NaN
"Bolsas papel 12 lbs BEAN & CHIPS , POSTRES",undefined,0,undefined,NaN
"Bolsas plastico 10 lbs PRESET DE CAMARON, AZUCAR",undefined,0,undefined,NaN
"Bolsas plastico preset 1 lb PRESET QUESO, PULPO, etc",undefined,0,undefined,NaN
"Brochas para aceite Winco flat pastry basting",undefined,0,undefined,NaN
"Cepillo De Alambre",undefined,0,undefined,NaN
"Charolas para llevar 4 vasos",undefined,0,undefined,NaN
"Contenedor 24oz  - 50 pza ( CN tower, Aguachiale y cocteles)",undefined,0,undefined,NaN
"TAPA Contenedor 24oz  - 50 pza ( CN tower, Aguachiale y cocteles)",undefined,0,undefined,NaN
"Contenedor 9x6x1 Liso (pequeño)",undefined,0,undefined,NaN
"Contenedor 3 tinas SUSHI ",undefined,0,undefined,NaN
"Contenedor 9"x9"  paq.150 piezas (yakimeshi, tacos, quesadillas)",undefined,0,undefined,NaN
"Contenedor Hot Sauce .5oz (2500pzs)",undefined,0,undefined,NaN
"Contenedor Chipotle 1oz cup",undefined,1,undefined,NaN
"TAPA Contenedor Chipotle 1oz y Hot Sauce .5oz",undefined,0,undefined,NaN
"Contenedor Guacamole 2oz",undefined,0,undefined,NaN
"TAPA Cont. Guacamole 2oz",undefined,0,undefined,NaN
"Contenedor SOYA  3.25 oz (300 pzs)",undefined,0,undefined,NaN
"TAPA Contenedor SOYA 3.25oz",undefined,0,undefined,NaN
"Contenedor Consome 4oz",undefined,0,undefined,NaN
"TAPA Contenedor consome 4oz",undefined,0,undefined,NaN
"Contenedor Birria y Sopa Tortilla  16oz",undefined,0,undefined,NaN
"TAPA Contenedor Frijol, birria y Sopa tortilla 32 oz ",undefined,0,undefined,NaN
"Cuchara desechable Blanca",undefined,1,undefined,NaN
"Filtros p/café (White hot paper)",undefined,0,undefined,NaN
"Filtros P/cafetera Bunn",undefined,0,undefined,NaN
"GAS BUTANO (para flamear ROJO )",undefined,0,undefined,NaN
"GAS BUTANO (para flamear AZUL  )",undefined,0,undefined,NaN
"Guantes desechables grandes vinil",undefined,0,undefined,NaN
"Guantes desechables extra gdes vinil",undefined,3,undefined,NaN
"Guantes desechables medianos vinil",undefined,0,undefined,NaN
"Guantes Lavaloza",undefined,0,undefined,NaN
"Maki",undefined,0,undefined,NaN
"Mallas para cabello Negras",undefined,0,undefined,NaN
"Mangas Desechables (Comfort clear pipping bag)",undefined,2,undefined,NaN
"Palillo de Dientes (paq 1000 pzs)",undefined,0,undefined,NaN
"Papel de bano everest  pequeño ",undefined,0,undefined,NaN
"Papel de baño  -  JUMBO",undefined,1,undefined,NaN
"Papel para Frituras Verde cuadros 14x14",undefined,0,undefined,NaN
"Popote Recto estuchado 9" 9in jumbo wrapped straws 300",undefined,0,undefined,NaN
"Servilleta mesa cliente bounty quilted napkins 8x20",undefined,8,undefined,NaN
"Tenazas Chicas",undefined,0,undefined,NaN
"Tenazas Grandes",undefined,0,undefined,NaN
"Tenedor Estuchado",undefined,0,undefined,NaN
"Toalla Interdoblada multifold (hojitas)",undefined,0,undefined,NaN
"Vaso 20oz p/llevar Michelada y agua fresca",undefined,0,undefined,NaN
"TAPA Vasos 20oz Michelada y Agua Fresca",undefined,0,undefined,NaN
"Vasos p/café llevar con tapa",undefined,0,undefined,NaN
"Vitafill",undefined,0,undefined,NaN
"Ziploc Mini Togarashi",undefined,1,undefined,NaN
"Chopsticks touch cello wrapped 9"",undefined,2,undefined,NaN
"Alcohol para Buffeteras chf fuel",undefined,0,undefined,NaN
"Paraguas para bar",undefined,0,undefined,NaN
"Palillo Bamboo p/Camaron 12"",undefined,0,undefined,NaN
"Guantes Negros Latex Large",undefined,0,undefined,NaN
"Guantes Negros Latex medianos",undefined,0,undefined,NaN
"Toalla ROLLO multifold marron (Danforth)",undefined,0,undefined,NaN
"Cuchillos para cocina (grandes y chicos)",undefined,2,undefined,NaN
"Tablas de colores para cocina",undefined,0,undefined,NaN
"Contenedores de Churros para llevar 6"x6"x3" Pequeño Churros",undefined,0,undefined,NaN
"Tapetes negros para BAR ",undefined,0,undefined,NaN
"Bolsa para llevar Grande de Papel 18x7x19 (caja c/200 piezas)",undefined,0,undefined,NaN
"Bolsa para llevar Chica de Papel 12x9x15.75 (caja c/200 piezas)",undefined,0,undefined,NaN
"Gorra con logotipo",undefined,0,undefined,NaN
"Mandil Guinda Vendedor",undefined,0,undefined,NaN
"Mandil Negro Bar",undefined,0,undefined,NaN
"Mandil Cocina",undefined,0,undefined,NaN
"Mandil De Plastico",undefined,0,undefined,NaN
"Aguacate "Avocado Cs." - COSMO FRUIT",undefined,2,undefined,NaN
"Albahaca 'basil"",undefined,0,undefined,NaN
"Cabeza de Ajo 3 lbs "Head of Garlic"",undefined,0,undefined,NaN
"Cebolla Blanca "Onions Spanish"",undefined,1,undefined,NaN
"Cebolla Morada "Onions Red"",undefined,1,undefined,NaN
"Cebollin "Onions Green" ",undefined,2,undefined,NaN
"Champiñon fresco "Mushroom"",undefined,0,undefined,NaN
"Chile Jalapeno "Jalapeno Pepper"",undefined,1,undefined,NaN
"Cilantro "Coriander Cs." (caja de 6, 12, 18 o 24  manojos)",undefined,24,undefined,NaN
"Fresa "Strawberry"",undefined,0,undefined,NaN
"Lechuga Mixta para ensalada",undefined,0,undefined,NaN
"Limon Amarillo "Lemons Cs."",undefined,2,undefined,NaN
"Limon Verde "Limes Cs."",undefined,1,undefined,NaN
"Mango Congelado "Frezzer Mangoes"",undefined,1,undefined,NaN
"Mangos Cs. "Mangoes Fresh"",undefined,1,undefined,NaN
"Melon (DESAYUNOS)",undefined,0,undefined,NaN
"Menta "Mint"",undefined,1,undefined,NaN
"Mix Vegetales (ALASKO PEAS AND CARROTS)",undefined,1,undefined,NaN
"Naranja "Orange" ",undefined,0,undefined,NaN
"Nopales",undefined,1,undefined,NaN
"Pepino "Cucumbers English Cs."",undefined,5,undefined,NaN
"Pimientos mixtos (rojos, verde amarrillo)",undefined,0,undefined,NaN
"Piña PIEZA MVR "Pineapple each"",undefined,0,undefined,NaN
"Piña Por CAJA de  vicenzo piezas  "Pineapple each"",undefined,0,undefined,NaN
"Platano "Banana"",undefined,0,undefined,NaN
